Brake_Pedal_Read,0.000,6.308
ABS_Control,7.627,21.594
Brake_Output,22.212,28.439
Brake_Pedal_Read,30.430,35.647
ABS_Control,36.932,49.836
Brake_Output,50.425,54.473
Brake_Pedal_Read,54.976,59.530
ABS_Control,61.288,73.425
Brake_Output,74.137,78.927
Brake_Pedal_Read,79.592,85.985
ABS_Control,87.760,97.806
Brake_Output,99.174,105.759
Brake_Pedal_Read,107.483,113.459
ABS_Control,115.111,125.640
Brake_Output,127.049,133.335
Brake_Pedal_Read,135.220,140.872
ABS_Control,141.727,153.870
Brake_Output,155.064,160.660
Brake_Pedal_Read,162.626,168.519
ABS_Control,169.335,180.066
Brake_Output,181.414,188.372
Brake_Pedal_Read,189.504,194.038
ABS_Control,195.450,204.847
Brake_Output,206.183,211.758
Brake_Pedal_Read,212.507,219.142
ABS_Control,220.828,231.682
Brake_Output,233.600,237.867
Brake_Pedal_Read,239.056,243.868
ABS_Control,245.574,258.201
Brake_Output,259.394,264.155
Brake_Pedal_Read,264.805,269.872
ABS_Control,271.128,283.928
Brake_Output,284.437,289.765
Brake_Pedal_Read,290.426,296.460
ABS_Control,297.853,310.378
Brake_Output,311.505,316.120
Brake_Pedal_Read,317.910,323.900
ABS_Control,325.109,336.677
Brake_Output,337.495,342.673
Brake_Pedal_Read,343.383,347.498
ABS_Control,348.081,358.528
Brake_Output,359.793,365.920
Brake_Pedal_Read,367.604,371.625
ABS_Control,372.372,383.469
Brake_Output,384.855,390.556
Brake_Pedal_Read,391.302,397.154
ABS_Control,398.570,410.308
Brake_Output,411.868,418.824
Brake_Pedal_Read,420.379,426.584
ABS_Control,427.241,440.125
Brake_Output,440.973,447.530
Brake_Pedal_Read,449.485,454.654
ABS_Control,455.790,464.133
Brake_Output,464.927,471.806
Brake_Pedal_Read,472.843,478.311
ABS_Control,479.223,488.906
Brake_Output,490.171,496.332
Brake_Pedal_Read,497.936,504.717
ABS_Control,506.375,519.055
Brake_Output,520.362,527.007
Brake_Pedal_Read,527.822,534.291
ABS_Control,535.053,544.912
Brake_Output,545.583,550.349
Brake_Pedal_Read,551.009,557.072
ABS_Control,558.471,567.047
Brake_Output,567.964,572.270
Brake_Pedal_Read,574.148,579.441
ABS_Control,580.440,589.001
Brake_Output,590.178,596.942
Brake_Pedal_Read,598.754,604.704
ABS_Control,605.728,615.210
Brake_Output,616.253,622.485
Brake_Pedal_Read,623.231,629.358
ABS_Control,630.369,642.249
Brake_Output,643.022,648.892
Brake_Pedal_Read,649.647,654.439
ABS_Control,656.002,666.068
Brake_Output,667.439,672.603
Brake_Pedal_Read,674.016,678.789
ABS_Control,680.674,693.929
Brake_Output,695.736,700.127
Brake_Pedal_Read,700.831,706.065
ABS_Control,707.228,716.228
Brake_Output,717.949,724.380
Brake_Pedal_Read,726.260,731.492
ABS_Control,732.237,742.118
Brake_Output,744.080,749.727
Brake_Pedal_Read,751.478,756.145
ABS_Control,757.562,766.572
Brake_Output,767.427,772.354
Brake_Pedal_Read,773.287,778.345
ABS_Control,778.966,787.122
Brake_Output,787.627,792.867
Brake_Pedal_Read,794.806,800.496
ABS_Control,801.536,814.004
Brake_Output,815.291,821.016
Brake_Pedal_Read,822.595,827.179
ABS_Control,828.039,839.475
Brake_Output,840.064,846.799
Brake_Pedal_Read,847.452,854.291
ABS_Control,855.163,866.314
Brake_Output,867.837,873.370
Brake_Pedal_Read,875.257,881.635
ABS_Control,883.400,894.611
Brake_Output,895.920,902.105
Brake_Pedal_Read,903.189,910.166
ABS_Control,910.715,922.333
Brake_Output,923.020,929.345
Brake_Pedal_Read,929.999,934.961
ABS_Control,936.206,945.040
Brake_Output,946.033,951.574
Brake_Pedal_Read,953.182,958.414
ABS_Control,960.199,970.151
Brake_Output,970.842,977.603
Brake_Pedal_Read,978.932,984.115
ABS_Control,985.728,995.959
Brake_Output,997.145,1001.703
Brake_Pedal_Read,1003.122,1008.882
ABS_Control,1010.136,1021.424
Brake_Output,1022.207,1026.329
Brake_Pedal_Read,1027.980,1032.331
ABS_Control,1033.394,1045.904
Brake_Output,1046.999,1052.840
Brake_Pedal_Read,1054.017,1058.065
ABS_Control,1058.693,1072.186
Brake_Output,1072.727,1078.672
Brake_Pedal_Read,1080.276,1085.866
ABS_Control,1086.630,1097.800
Brake_Output,1099.741,1103.968
Brake_Pedal_Read,1104.894,1109.019
ABS_Control,1109.777,1123.575
Brake_Output,1124.790,1129.218
Brake_Pedal_Read,1130.095,1134.146
ABS_Control,1134.774,1148.337
Brake_Output,1149.028,1154.519
Brake_Pedal_Read,1155.058,1160.596
ABS_Control,1161.236,1172.431
Brake_Output,1173.522,1179.307
Brake_Pedal_Read,1179.878,1184.295
ABS_Control,1185.666,1195.170
Brake_Output,1196.344,1203.327
Brake_Pedal_Read,1204.952,1209.378
ABS_Control,1210.549,1221.414
Brake_Output,1222.902,1227.504
Brake_Pedal_Read,1228.142,1234.245
ABS_Control,1234.912,1242.943
Brake_Output,1244.238,1251.219
Brake_Pedal_Read,1253.216,1259.652
ABS_Control,1261.054,1272.483
Brake_Output,1274.203,1278.678
